,Month,station,correlation,soil,resample list,depth
0,4,2057:AL:SCAN,0.2225533183253327,D,1w,SMS-2.0in
1,4,2057:AL:SCAN,0.28271241806437597,D,1w,SMS-4.0in
2,4,2057:AL:SCAN,0.2552889824418197,D,1w,SMS-8.0in
3,4,2057:AL:SCAN,0.19775491399381329,D,1w,SMS-20.0in
4,4,2057:AL:SCAN,0.08047041575479856,D,1w,SMS-40.0in
5,4,2078:AL:SCAN,0.35024768799676237,D,1w,SMS-2.0in
6,4,2078:AL:SCAN,0.42057733702615613,B,1w,SMS-4.0in
7,4,2078:AL:SCAN,0.2587145396446855,D,1w,SMS-8.0in
8,4,2078:AL:SCAN,0.3917118634010439,D,1w,SMS-20.0in
9,4,2078:AL:SCAN,-0.13048619535358452,D,1w,SMS-40.0in
10,4,2177:AL:SCAN,0.2549263059641116,D,1w,SMS-2.0in
11,4,2177:AL:SCAN,0.15511056185424216,D,1w,SMS-4.0in
12,4,2177:AL:SCAN,0.32172266219221085,D,1w,SMS-8.0in
13,4,2177:AL:SCAN,0.2587412463157531,D,1w,SMS-20.0in
14,4,2177:AL:SCAN,-0.004516814815233113,D,1w,SMS-40.0in
15,4,2113:AL:SCAN,0.35764021764561577,A,1w,SMS-2.0in
16,4,2113:AL:SCAN,0.35523353344061137,A,1w,SMS-4.0in
17,4,2113:AL:SCAN,0.3584228940371374,A,1w,SMS-8.0in
18,4,2113:AL:SCAN,0.26366357607883734,B,1w,SMS-20.0in
19,4,2113:AL:SCAN,-0.007784255151028086,B,1w,SMS-40.0in
20,4,2174:AL:SCAN,0.40028070238761126,D,1w,SMS-2.0in
21,4,2174:AL:SCAN,0.3627071247919811,D,1w,SMS-4.0in
22,4,2174:AL:SCAN,0.3988542647788054,D,1w,SMS-8.0in
23,4,2174:AL:SCAN,0.2045748021382576,D,1w,SMS-20.0in
24,4,2174:AL:SCAN,0.19069535321211312,D,1w,SMS-40.0in
25,4,2055:AL:SCAN,0.21975078108144883,B,1w,SMS-2.0in
26,4,2055:AL:SCAN,0.14996392454073115,B,1w,SMS-4.0in
27,4,2055:AL:SCAN,0.2025711837855799,B,1w,SMS-8.0in
28,4,2055:AL:SCAN,0.22645831386817986,D,1w,SMS-20.0in
29,4,2055:AL:SCAN,-0.11050440571733394,D,1w,SMS-40.0in
30,4,2173:AL:SCAN,0.4156902666800345,B,1w,SMS-2.0in
31,4,2173:AL:SCAN,0.4556470783400338,B,1w,SMS-4.0in
32,4,2173:AL:SCAN,0.6094515975779317,D,1w,SMS-8.0in
33,4,2173:AL:SCAN,0.2765995286598422,D,1w,SMS-20.0in
34,4,2173:AL:SCAN,0.39040259929103827,D,1w,SMS-40.0in
35,4,2180:AL:SCAN,0.3116360418148718,A,1w,SMS-2.0in
36,4,2180:AL:SCAN,0.26938014137528743,A,1w,SMS-4.0in
37,4,2180:AL:SCAN,0.4322007083824546,A,1w,SMS-8.0in
38,4,2180:AL:SCAN,0.27405269735745724,A,1w,SMS-20.0in
39,4,2180:AL:SCAN,0.33932000178433536,C,1w,SMS-40.0in
40,4,2114:AL:SCAN,0.19973381842334995,B,1w,SMS-2.0in
41,4,2114:AL:SCAN,0.16605725520448375,D,1w,SMS-4.0in
42,4,2114:AL:SCAN,0.19351815562014496,D,1w,SMS-8.0in
43,4,2114:AL:SCAN,0.16113010387168644,D,1w,SMS-20.0in
44,4,2114:AL:SCAN,0.20780116688736563,D,1w,SMS-40.0in
45,4,2178:AL:SCAN,0.2656865736680545,A,1w,SMS-2.0in
46,4,2178:AL:SCAN,0.20174742449641817,A,1w,SMS-4.0in
47,4,2178:AL:SCAN,0.2393127373160358,A,1w,SMS-8.0in
48,4,2178:AL:SCAN,0.3431580306206808,A,1w,SMS-20.0in
49,4,2178:AL:SCAN,0.4954383094717865,B,1w,SMS-40.0in
50,4,2181:AL:SCAN,0.16338986724953738,A,1w,SMS-2.0in
51,4,2181:AL:SCAN,0.06641312408175512,A,1w,SMS-4.0in
52,4,2181:AL:SCAN,0.056035594524878385,A,1w,SMS-8.0in
53,4,2181:AL:SCAN,0.4208731384978033,A,1w,SMS-20.0in
54,4,2181:AL:SCAN,0.06128042359131369,C,1w,SMS-40.0in
55,4,2182:AL:SCAN,0.38400432858101047,A,1w,SMS-2.0in
56,4,2182:AL:SCAN,0.15995367828952048,A,1w,SMS-4.0in
57,4,2182:AL:SCAN,0.30244911117651296,A,1w,SMS-8.0in
58,4,2182:AL:SCAN,0.08929960586390362,A,1w,SMS-20.0in
59,4,2182:AL:SCAN,0.23184675660545845,A,1w,SMS-40.0in
60,4,2176:AL:SCAN,0.002268926447085791,A,1w,SMS-2.0in
61,4,2176:AL:SCAN,0.17764665782460443,A,1w,SMS-4.0in
62,4,2176:AL:SCAN,0.20534700401495382,A,1w,SMS-8.0in
63,4,2176:AL:SCAN,0.030311867361792196,A,1w,SMS-20.0in
64,4,2176:AL:SCAN,0.02934322862717904,A,1w,SMS-40.0in
65,4,2056:AL:SCAN,0.19073020069353877,B,1w,SMS-2.0in
66,4,2056:AL:SCAN,0.1972634961145025,B,1w,SMS-4.0in
67,4,2056:AL:SCAN,0.16029374510789035,D,1w,SMS-8.0in
68,4,2056:AL:SCAN,0.2477051108613764,D,1w,SMS-20.0in
69,4,2056:AL:SCAN,-0.17646994818334896,D,1w,SMS-40.0in
70,4,2179:AL:SCAN,0.19170610964402077,A,1w,SMS-2.0in
71,4,2179:AL:SCAN,0.051913342727646326,A,1w,SMS-4.0in
72,4,2179:AL:SCAN,0.003416228175483212,A,1w,SMS-8.0in
73,4,2179:AL:SCAN,0.22937897439108731,A,1w,SMS-20.0in
74,4,2179:AL:SCAN,0.38870257105885064,,1w,SMS-40.0in
75,4,2115:AL:SCAN,0.20875288215923465,A,1w,SMS-2.0in
76,4,2115:AL:SCAN,0.17441797895811936,A,1w,SMS-4.0in
77,4,2115:AL:SCAN,0.24271626905956875,A,1w,SMS-8.0in
78,4,2115:AL:SCAN,0.1791954625078043,C,1w,SMS-20.0in
79,4,2115:AL:SCAN,0.16828632205753583,D,1w,SMS-40.0in
80,4,2175:AL:SCAN,0.20580457544104197,B,1w,SMS-2.0in
81,4,2175:AL:SCAN,0.47107114143483364,B,1w,SMS-4.0in
82,4,2175:AL:SCAN,0.016341432551130505,B,1w,SMS-8.0in
83,4,2175:AL:SCAN,0.42813548538455837,B,1w,SMS-20.0in
84,4,2175:AL:SCAN,0.46247389253861615,D,1w,SMS-40.0in
85,4,2053:AL:SCAN,0.226411821436138,D,1w,SMS-2.0in
86,4,2053:AL:SCAN,0.3154120040468386,B,1w,SMS-4.0in
87,4,2053:AL:SCAN,0.2563196290738374,B,1w,SMS-8.0in
88,4,2053:AL:SCAN,0.07597849150180605,D,1w,SMS-20.0in
89,4,2053:AL:SCAN,0.26051634602563917,D,1w,SMS-40.0in
90,5,2057:AL:SCAN,0.19046436358717486,D,1w,SMS-2.0in
91,5,2057:AL:SCAN,0.20833218700669062,D,1w,SMS-4.0in
92,5,2057:AL:SCAN,-0.07228228207778757,D,1w,SMS-8.0in
93,5,2057:AL:SCAN,0.15397054492040313,D,1w,SMS-20.0in
94,5,2057:AL:SCAN,0.32760678007764643,D,1w,SMS-40.0in
95,5,2078:AL:SCAN,0.19780771787809504,D,1w,SMS-2.0in
96,5,2078:AL:SCAN,0.06313878936247344,B,1w,SMS-4.0in
97,5,2078:AL:SCAN,0.024104475470950425,D,1w,SMS-8.0in
98,5,2078:AL:SCAN,0.05547426949228919,D,1w,SMS-20.0in
99,5,2078:AL:SCAN,0.05742125546513247,D,1w,SMS-40.0in
100,5,2177:AL:SCAN,0.42906138375602954,D,1w,SMS-2.0in
101,5,2177:AL:SCAN,0.4164080496464281,D,1w,SMS-4.0in
102,5,2177:AL:SCAN,0.4582025761776998,D,1w,SMS-8.0in
103,5,2177:AL:SCAN,0.2650983867381067,D,1w,SMS-20.0in
104,5,2177:AL:SCAN,-0.13093807531610396,D,1w,SMS-40.0in
105,5,2113:AL:SCAN,0.20145503714993407,A,1w,SMS-2.0in
106,5,2113:AL:SCAN,0.2442518592806634,A,1w,SMS-4.0in
107,5,2113:AL:SCAN,0.21335523692974442,A,1w,SMS-8.0in
108,5,2113:AL:SCAN,0.10525011956755238,B,1w,SMS-20.0in
109,5,2113:AL:SCAN,0.12343825791057964,B,1w,SMS-40.0in
110,5,2174:AL:SCAN,0.12336512350564989,D,1w,SMS-2.0in
111,5,2174:AL:SCAN,0.11276147510481707,D,1w,SMS-4.0in
112,5,2174:AL:SCAN,0.03953458972255787,D,1w,SMS-8.0in
113,5,2174:AL:SCAN,0.09296345468655799,D,1w,SMS-20.0in
114,5,2174:AL:SCAN,-0.17800127258136542,D,1w,SMS-40.0in
115,5,2055:AL:SCAN,0.16492318836313483,B,1w,SMS-2.0in
116,5,2055:AL:SCAN,0.09671704180013173,B,1w,SMS-4.0in
117,5,2055:AL:SCAN,0.23208175751870963,B,1w,SMS-8.0in
118,5,2055:AL:SCAN,0.2410502636588553,D,1w,SMS-20.0in
119,5,2055:AL:SCAN,-0.20326598383613656,D,1w,SMS-40.0in
120,5,2173:AL:SCAN,0.2122437793008022,B,1w,SMS-2.0in
121,5,2173:AL:SCAN,0.25800240095001054,B,1w,SMS-4.0in
122,5,2173:AL:SCAN,0.47152173414419324,D,1w,SMS-8.0in
123,5,2173:AL:SCAN,0.255335113979979,D,1w,SMS-20.0in
124,5,2173:AL:SCAN,0.306655854930034,D,1w,SMS-40.0in
125,5,2180:AL:SCAN,0.009265988581005129,A,1w,SMS-2.0in
