year,station,Agland percent,Water percent,Shrub percent,Forest percent,Barren percent,Herbaceous percent,Wetland percent,Developed percent
2001,2055:AL:SCAN,0.17768755516328333,0.15187996469549866,0.015075022065313328,0.5944571932921447,0.0002824360105913504,0.010838481906443072,0.004766107678729038,0.04501323918799647
2001,2175:AL:SCAN,0.08413821960319398,0.11823982705115241,0.010565221939398167,0.6461522368283413,0.0011157990167021165,0.045364203772795424,6.973743854388228e-05,0.09435475434987273
2001,2056:AL:SCAN,0.34684223532318986,0.0024005365905320013,0.004942281215801179,0.4333674586083948,3.530200868429414e-05,0.0005295301302644121,0.15137501323825325,0.06050764288488015
2001,2180:AL:SCAN,0.6898430098795507,0.0005075111652456354,0.002097712816348626,0.11016375693598593,3.383407768304236e-05,0.007849506022465827,0.09213019353092435,0.09737447557179592
2001,2115:AL:SCAN,0.11355399855037449,0.0030373105995236947,0.05170330997825562,0.4828633555379146,0.0009664170089393573,0.010906706243744176,0.04245331860697891,0.29451558347426915
2001,2078:AL:SCAN,0.6859647877325004,0.0025202328553173363,0.0014908419707511003,0.09438449524350419,0.00021297742439301435,0.0034076387902882295,0.09701121681101803,0.11500780917222775
2001,2176:AL:SCAN,0.23703013358185773,0.09119464291878085,0.03344724034379207,0.359808083946015,0.012564288426357392,0.03841772807290049,0.15639777708743227,0.07114010562286424
2001,2178:AL:SCAN,0.4276690483587035,0.02764833799316558,0.013082047564806186,0.15839977908943426,0.021228124676400537,0.0029339684512098307,0.286976631804218,0.062062062062062065
2001,2182:AL:SCAN,0.29337550159831327,0.02506291233081684,0.046691151465687274,0.34414745290076854,0.0002720533224512004,0.027579405563490443,0.2452560701897572,0.01761545262871523
2001,2114:AL:SCAN,0.40348692403486924,0.025183340251833403,0.022900235229002353,0.4652691296526913,0.00010377750103777501,0.001072367510723675,0.01266085512660855,0.0693233706932337
2001,2113:AL:SCAN,0.3682765418192059,0.02098000563221628,0.023514502956913545,0.44146015206983946,0.0005984229794424106,0.007920304139678964,0.0019008729935229513,0.1353491974091805
2001,2179:AL:SCAN,0.18256706329648667,0.0005984651130042949,0.07051327184397663,0.6102583961134972,0.0,0.07966626768992466,0.004259663451383511,0.0521368724917271
2001,2177:AL:SCAN,0.8611158975772822,0.00968397835751456,0.008960264672433401,0.06578902022952063,0.0001723127821621808,0.0013440397008650101,0.01640417686183961,0.03653030981838233
2001,2053:AL:SCAN,0.814159920465843,0.00021303792074989347,0.004438290015622781,0.04086777446385457,0.00035506320124982244,0.004509302655872746,0.032807839795483594,0.10264877148132368
2001,2181:AL:SCAN,0.42340686274509803,0.0033360566448801744,0.019335511982570806,0.29190495642701525,0.01133578431372549,0.04844090413943355,0.15407135076252723,0.048168572984749455
