,station,Mean Evergreen Cover,Mean Mixed Cover,Mean Deciduous Cover,Total Tree Cover
0,SCAN2179,32.233638897225546,12.35009351489266,22.74880393706808,67.37812209836704
1,SCAN2178,5.265427882980169,7.470539856968783,2.765998705819091,15.53802099680624
2,SCAN2180,10.440370689023746,0.6231221000527575,0.03626592682075017,11.106948873352913
3,SCAN2181,28.351792024088674,0.864020792678132,0.2009891688335719,29.46549477332706
4,SCAN2182,28.64906862326689,4.142864335212937,1.72885180660546,35.13233625054015
5,SCAN2053,4.999033061645186,4.853337139914501,29.788762202122392,39.74856613677595
6,SCAN2078,1.4288728825320014,0.9385958465410829,6.46755553031508,8.82481961529901
7,SCAN2055,3.3140688879067906,6.15075293881787,45.47157808953854,54.11540245993426
8,SCAN2057,4.999033061645186,4.853337139914501,29.788762202122392,39.74856613677595
9,SCAN2056,1.146001424687804,3.098533291520338,38.053378372297644,42.275847041972895
10,SCAN2113,9.166650790929241,11.974891002708816,23.927241909517125,45.099724134903454
11,SCAN2115,15.81969701707231,27.354190870391992,1.536086341701578,44.01524525065548
12,SCAN2114,8.587598211587405,30.74262772186011,7.185817869693615,46.49788473088898
13,SCAN2173,7.144396302883954,9.35045827222897,30.336347304772787,46.69889025866511
14,SCAN2176,12.822057159223835,8.969204916904426,16.039205887420888,37.84257742372948
15,SCAN2177,0.3403709030150955,0.0900273817027197,5.0663346140831305,5.43906604906706
16,SCAN2175,19.766015711353607,4.736676376493371,37.495666191770624,62.05180459364536
17,SCAN2174,8.875555959925869,2.337959319133751,0.5100709806310558,11.722723486819149
